par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,num_iters,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
12,1.0,0.01,0.2,0.3217422678598971,0.05415203542085772,0.08887469561086202,0.03796458967751939,0.0034727095596395474,0.009517626935009732,0.5961912939660503,0.6595117203343541,0.005380733864292698,519,47,106.35215702211465,1.0,1.0,1.0
13,1.0,0.1,0.05,0.3293091076018542,0.06489783131653559,0.05747530312011692,0.029607612755081055,0.0038551154475240192,0.002583701091909501,0.829743146253886,0.0479685222016532,-0.06113661284894307,168,63,36.25256495946017,1.0,1.0,1.0
13,1.0,0.1,0.05,0.35456378100409475,0.06822847772882082,0.054895961356284356,0.03836870607155223,0.0045460706278713835,0.0043636472059171766,0.9106346129930158,-0.4892087807635267,-0.4864094440151426,168,79,23.638753346974106,1.0,1.0,1.0
14,1.0,0.1,0.1,0.3345194688502872,0.061978901701146144,0.06975769483383111,0.02770980634706974,0.003518545690468093,0.0028862013888359844,0.8452409196218221,-0.014461455386914715,-0.01882290673625469,804,52,79.77562267800799,1.0,1.0,1.0
14,1.0,0.1,0.1,0.3251197297161587,0.06643449714476655,0.05274236098893349,0.027134850901795963,0.003441239665927877,0.0021600778026175916,0.8470406850127353,-0.009039538885466875,-0.004495379277095279,91,184,10.233153523601517,1.0,1.0,1.0
15,1.0,0.1,0.2,0.32001583835829267,0.05820975599015822,0.0753468206518708,0.03049976422882724,0.004356279585633003,0.00837577247670347,0.7016238414043676,0.046337290962287135,-0.4805147766476286,413,67,92.78514964050251,1.0,1.0,1.0
15,1.0,0.1,0.2,0.32708300483113834,0.07097106976335593,0.041520922584996255,0.026011323770636155,0.0033328292684289373,0.0017013388474224184,0.8317267697581914,2.9272004123169728e-6,-7.603006989719549e-7,369,145,-62.99614142173201,1.0,1.0,1.0
16,1.0,0.5,0.05,0.32869895900022417,0.06889587091648688,0.048055306879953234,0.026909250012325893,0.003405408255620704,0.002153591715290602,0.833342186698615,0.042254804694545775,3.518323911729445e-5,219,118,-18.584703221411182,1.0,1.0,1.0
16,1.0,0.5,0.05,0.3348039721409631,0.07197046298317747,0.042610427125240685,0.027163332430756606,0.0035721823401529103,0.0020323507250099427,0.8316754199994119,-0.13398163478158254,-0.1598770145896697,156,95,-56.2372340897943,1.0,1.0,1.0
17,1.0,0.5,0.1,0.3321545573220496,0.06577030466585262,0.0572987734754024,0.027922275534555646,0.0035466312953030426,0.0023293151942432137,0.8509586620287501,1.6831053973038707e-5,-8.913869493161675e-6,1026,117,34.146108303195625,1.0,1.0,1.0
17,1.0,0.5,0.1,0.33761577054962927,0.07093576109233586,0.044020292435427384,0.029555025159672732,0.0035968777220503267,0.0017991292820525543,0.8634982569502193,2.692941922615559e-6,-3.5020032489455823e-7,217,163,-43.59697828509557,1.0,1.0,1.0
18,1.0,0.5,0.2,0.33490343661139016,0.059330333974221126,0.07707524846225558,0.02821275473753692,0.0035864927684507515,0.0031074733059990017,0.8512309563724187,0.0024268799088540244,0.0012649348557375378,98,108,95.72192190193043,1.0,1.0,1.0
18,1.0,0.5,0.2,0.3335127898415839,0.056145271444441924,0.08829001860962854,0.02978005702476834,0.003788613017447274,0.0035433728061021095,0.8644623199991572,0.005930378025636858,-0.0029266145961165235,209,90,106.0664663912301,1.0,1.0,1.0
19,3.0,0.01,0.05,0.338761455687404,0.06361931615734165,0.06583153554222818,0.02780871832826777,0.003572846990098994,0.002667937612370494,0.8430458157148942,-1.06681357240205e-5,-1.531477524140311e-5,713,79,68.35767672726456,1.0,1.0,1.0
19,3.0,0.01,0.05,0.34496470825076625,0.06910916622900085,0.05022893790560001,0.026695928664670035,0.0033917034329801056,0.0020535049475688804,0.8212709911883066,-1.5567060263996283e-5,-0.0001067378511886134,206,61,-3.846818998783891,1.0,1.0,1.0
20,3.0,0.01,0.1,0.3342169828563122,0.0670045721962728,0.05404523653947059,0.02842714151026298,0.003567369222734739,0.00231048529379349,0.8530775312029486,0.06538030247299222,0.06594899220488355,1014,58,17.603580025143366,1.0,1.0,1.0
20,3.0,0.01,0.1,0.32418212449647815,0.05172652436194696,0.09841076486142149,0.02733199131570452,0.003496622288400809,0.004136303985743884,0.8480898283103245,-0.01188451817573939,-0.03914434904577212,1295,27,104.13477789238401,1.0,1.0,1.0
21,3.0,0.01,0.2,0.3300041550804701,0.05905452974155103,0.07801067330649512,0.025560585801151503,0.0034008059653499287,0.0032034894014370155,0.8178018308361595,0.0030273619104459397,-0.010198439190723028,324,103,96.60555414954204,1.0,1.0,1.0
